Volatility 3 Framework 2.28.1

Offset	Order	PID	Start	State	Type	Name	Display	Binary	Binary (Registry)	Dll

0x17f0be5b340	348	876	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	Power	Power	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p	%SystemRoot%\system32\svchost.exe -k DcomLaunch -p	%SystemRoot%\system32\umpo.dll
0x17f0be5b350	347	1688	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	PolicyAgent	IPsec Policy Agent	C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p	%SystemRoot%\system32\svchost.exe -k NetworkServiceNetworkRestricted -p	%SystemRoot%\System32\ipsecsvc.dll
0x17f0be5b4d0	346	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PNRPsvc	Peer Name Resolution Protocol	N/A	%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet	-
0x17f0be5bf50	345	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PNRPAutoReg	PNRP Machine Name Publication Service	N/A	%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet	-
0x17f0be550d0	344	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	PNPMEM	Microsoft Memory Module Driver	N/A	\SystemRoot\System32\drivers\pnpmem.sys	-
0x17f0be59320	343	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	pmem	Microsoft persistent memory disk driver	N/A	\SystemRoot\System32\drivers\pmem.sys	-
0x17f0be599b0	342	876	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	PlugPlay	Plug and Play	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p	%SystemRoot%\system32\svchost.exe -k DcomLaunch -p	%SystemRoot%\system32\umpnpmgr.dll
0x17f0be55cd0	341	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	pla	Performance Logs & Alerts	N/A	%SystemRoot%\System32\svchost.exe -k LocalServiceNoNetwork -p	%systemroot%\system32\pla.dll
0x17f0be54f50	340	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PimIndexMaintenanceSvc	Contact Data	N/A	%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup	%SystemRoot%\System32\PimIndexMaintenance.dll
0x17f0be54dd0	339	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PhoneSvc	Phone Service	N/A	%SystemRoot%\system32\svchost.exe -k LocalService -p	%SystemRoot%\System32\PhoneService.dll
0x17f0be55250	338	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	PerfHost	Performance Counter DLL Host	N/A	%SystemRoot%\SysWow64\perfhost.exe	-
0x17f0be55850	337	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	percsas3i	percsas3i	N/A	System32\drivers\percsas3i.sys	-
0x17f0be598c0	336	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	percsas2i	percsas2i	N/A	System32\drivers\percsas2i.sys	-
0x17f0be58150	335	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PeerDistSvc	BranchCache	N/A	%SystemRoot%\System32\svchost.exe -k PeerDist	-
0x17f0be54350	334	N/A	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	PEAUTH	PEAUTH	\Driver\PEAUTH	system32\drivers\peauth.sys	-
0x17f0be58060	333	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	pdc	pdc	\Driver\pdc	system32\drivers\pdc.sys	-
0x17f0be58330	332	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	pcw	Performance Counters for Windows Driver	\Driver\pcw	System32\drivers\pcw.sys	-
0x17f0be58600	331	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	pcmcia	pcmcia	N/A	System32\drivers\pcmcia.sys	-
0x17f0be58240	330	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	pciide	pciide	N/A	System32\drivers\pciide.sys	-
0x17f0be58510	329	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	pci	PCI Bus Driver	\Driver\pci	System32\drivers\pci.sys	-
0x17f0be59230	328	1056	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	PcaSvc	Program Compatibility Assistant Service	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p	%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\pcasvc.dll
0x17f0be541d0	327	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	partmgr	Partition driver	\Driver\partmgr	System32\drivers\partmgr.sys	-
0x17f0be59b90	326	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	Parport	Parallel port driver	N/A	\SystemRoot\System32\drivers\parport.sys	-
0x17f0be588d0	325	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	p2psvc	Peer Networking Grouping	N/A	%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet	%SystemRoot%\system32\p2psvc.dll
0x17f0be54ad0	324	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	p2pimsvc	Peer Networking Identity Manager	N/A	%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet	%SystemRoot%\system32\pnrpsvc.dll
0x17f0be556d0	323	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	ose	Office  Source Engine	N/A	"C:\Program Files (x86)\Common Files\Microsoft Shared\Source Engine\OSE.EXE"	-
0x17f0be55e50	322	N/A	SERVICE_AUTO_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	OneSyncSvc	Sync Host	N/A	%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup	%SystemRoot%\System32\APHostService.dll
0x17f0be54050	321	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	odserv	Microsoft Office Diagnostics Service	N/A	"C:\Program Files (x86)\Common Files\Microsoft Shared\OFFICE12\ODSERV.EXE"	-
0x17f0be54950	320	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	nvstor	nvstor	N/A	System32\drivers\nvstor.sys	-
0x17f0be586f0	319	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	nvraid	nvraid	N/A	System32\drivers\nvraid.sys	-
0x17f0be59d70	318	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	nvdimmn	Microsoft NVDIMM-N device driver	N/A	\SystemRoot\System32\drivers\nvdimmn.sys	-
0x17f0be589c0	317	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	Null	Null	\Driver\Null	-	-
0x17f0be59410	316	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	NTFS	NTFS	\FileSystem\NTFS	-	-
0x17f0be596e0	315	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	nsiproxy	NSI Proxy Service Driver	\Driver\nsiproxy	system32\drivers\nsiproxy.sys	-
0x17f0be595f0	314	996	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	nsi	Network Store Interface Service	C:\WINDOWS\system32\svchost.exe -k LocalService -p	%systemroot%\system32\svchost.exe -k LocalService -p	%systemroot%\system32\nsisvc.dll
0x17f0be559d0	313	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	npsvctrig	Named pipe service trigger provider	\Driver\npsvctrig	\SystemRoot\System32\drivers\npsvctrig.sys	-
0x17f0be59500	312	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	Npfs	Npfs	\FileSystem\Npfs	-	-
0x17f0be59c80	311	N/A	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	npf	NetGroup Packet Filter Driver	\Driver\npf	system32\drivers\npf.sys	-
0x17f0be587e0	310	215296	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	NlaSvc	Network Location Awareness	C:\WINDOWS\System32\svchost.exe -k NetworkService -p	%SystemRoot%\System32\svchost.exe -k NetworkService -p	%SystemRoot%\System32\nlasvc.dll
0x17f0be553d0	309	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	NgcSvc	Microsoft Passport	N/A	%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\system32\ngcsvc.dll
0x17f0be547d0	308	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	NgcCtnrSvc	Microsoft Passport Container	N/A	%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p	%SystemRoot%\System32\NgcCtnrSvc.dll
0x17f0be55550	307	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	netvsc	netvsc	N/A	\SystemRoot\System32\drivers\netvsc.sys	-
0x17f0be51e60	306	N/A	SERVICE_DISABLED	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	NetTcpPortSharing	Net.Tcp Port Sharing Service	N/A	%systemroot%\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe	-
0x17f0be54650	305	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	NetSetupSvc	Network Setup Service	N/A	%SystemRoot%\System32\svchost.exe -k netsvcs -p	%SystemRoot%\System32\NetSetupSvc.dll
0x17f0be544d0	304	996	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	netprofm	Network List Service	C:\WINDOWS\system32\svchost.exe -k LocalService -p	%SystemRoot%\System32\svchost.exe -k LocalService -p	%SystemRoot%\System32\netprofmsvc.dll
0x17f0be54c50	303	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	Netman	Network Connections	N/A	%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\netman.dll
0x17f0be55b50	302	788	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	Netlogon	Netlogon	C:\WINDOWS\system32\lsass.exe	%systemroot%\system32\lsass.exe	%SystemRoot%\system32\netlogon.dll
0x17f0be4ccd0	301	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NetBT	NetBT	\Driver\NetBT	System32\DRIVERS\netbt.sys	-
0x17f0be50330	300	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	NetBIOS	NetBIOS Interface	\FileSystem\NetBIOS	system32\drivers\netbios.sys	-
0x17f0be50240	299	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	NetAdapterCx	Network Adapter Wdf Class Extension Library	N/A	system32\drivers\NetAdapterCx.sys	-
0x17f0be50060	298	N/A	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	Ndu	Windows Network Data Usage Monitoring Driver	\Driver\Ndu	system32\drivers\Ndu.sys	-
0x17f0be51d70	297	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	ndproxy	@%SystemRoot%\system32\drivers\todo.sys,-101;NDIS Proxy	\Driver\ndproxy	System32\DRIVERS\NDProxy.sys	-
0x17f0be51b90	296	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	ndiswanlegacy	Remote Access LEGACY NDIS WAN Driver	N/A	System32\DRIVERS\ndiswan.sys	-
0x17f0be51320	295	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NdisWan	Remote Access NDIS WAN Driver	\Driver\NdisWan	\SystemRoot\System32\drivers\ndiswan.sys	-
0x17f0be51140	294	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NdisVirtualBus	Microsoft Virtual Network Adapter Enumerator	\Driver\NdisVirtualBus	\SystemRoot\System32\drivers\NdisVirtualBus.sys	-
0x17f0be51aa0	293	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	Ndisuio	NDIS Usermode I/O Protocol	N/A	system32\drivers\ndisuio.sys	-
0x17f0be50f60	292	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NdisTapi	Remote Access NDIS TAPI Driver	\Driver\NdisTapi	System32\DRIVERS\ndistapi.sys	-
0x17f0be518c0	291	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	NdisImPlatform	Microsoft Network Adapter Multiplexor Protocol	N/A	System32\drivers\NdisImPlatform.sys	-
0x17f0be50ab0	290	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	NdisCap	Microsoft NDIS Capture	N/A	System32\drivers\ndiscap.sys	-
0x17f0be507e0	289	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NDIS	NDIS System Driver	\Driver\NDIS	system32\drivers\ndis.sys	-
0x17f0be50e70	288	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	ndfltr	NetworkDirect Service	N/A	\SystemRoot\System32\drivers\ndfltr.sys	-
0x17f0be51c80	287	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	NcdAutoSetup	Network Connected Devices Auto-Setup	N/A	%SystemRoot%\System32\svchost.exe -k LocalServiceNoNetwork -p	%SystemRoot%\System32\NcdAutoSetup.dll
0x17f0be4c0d0	286	1056	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	NcbService	Network Connection Broker	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\ncbservice.dll
0x17f0be4cb50	285	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	NcaSvc	Network Connectivity Assistant	N/A	%SystemRoot%\System32\svchost.exe -k NetSvcs -p	%SystemRoot%\System32\ncasvc.dll
0x17f0be4c9d0	284	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	NaturalAuthentication	Natural Authentication	N/A	%SystemRoot%\system32\svchost.exe -k netsvcs -p	%SystemRoot%\System32\NaturalAuth.dll
0x17f0be4c850	283	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	NativeWifiP	NativeWiFi Filter	N/A	system32\DRIVERS\nwifi.sys	-
0x17f0be51410	282	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	mvumis	mvumis	N/A	System32\drivers\mvumis.sys	-
0x17f0be509c0	281	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	Mup	Mup	\FileSystem\Mup	System32\Drivers\mup.sys	-
0x17f0be50d80	280	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MTConfig	Microsoft Input Configuration Driver	N/A	\SystemRoot\System32\drivers\MTConfig.sys	-
0x17f0be50420	279	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MSTEE	Microsoft Streaming Tee/Sink-to-Sink Converter	N/A	\SystemRoot\System32\drivers\MSTEE.sys	-
0x17f0be50510	278	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mssmbios	Microsoft System Management BIOS Driver	\Driver\mssmbios	\SystemRoot\System32\drivers\mssmbios.sys	-
0x17f0be50600	277	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	MsSecFlt	Microsoft Security Events Component Minifilter	\Driver\MsSecFlt	system32\drivers\mssecflt.sys	-
0x17f0be51500	276	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MsRPC	MsRPC	N/A	-	-
0x17f0be50c90	275	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MSPQM	Microsoft Streaming Quality Manager Proxy	N/A	\SystemRoot\System32\drivers\MSPQM.sys	-
0x17f0be51050	274	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MSPCLOCK	Microsoft Streaming Clock Proxy	N/A	\SystemRoot\System32\drivers\MSPCLOCK.sys	-
0x17f0be50150	273	N/A	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	MsLldp	Microsoft Link-Layer Discovery Protocol	\Driver\MsLldp	system32\drivers\mslldp.sys	-
0x17f0be517d0	272	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MSKSSRV	Microsoft Streaming Service Proxy	N/A	\SystemRoot\System32\drivers\MSKSSRV.sys	-
0x17f0be51230	271	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	msiserver	Windows Installer	N/A	%systemroot%\system32\msiexec.exe /V	-
0x17f0be4bf50	270	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	MSiSCSI	Microsoft iSCSI Initiator Service	N/A	%systemroot%\system32\svchost.exe -k netsvcs -p	%systemroot%\system32\iscsiexe.dll
0x17f0be4bdd0	269	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	msisadrv	msisadrv	\Driver\msisadrv	System32\drivers\msisadrv.sys	-
0x17f0be519b0	268	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	mshidumdf	Pass-through HID to UMDF Driver	N/A	\SystemRoot\System32\drivers\mshidumdf.sys	-
0x17f0be50ba0	267	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	mshidkmdf	mshidkmdf	N/A	\SystemRoot\System32\drivers\mshidkmdf.sys	-
0x17f0be515f0	266	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	msgpiowin32	Common Driver for Buttons, DockMode and Laptop/Slate Indicator	N/A	\SystemRoot\System32\drivers\msgpiowin32.sys	-
0x17f0be506f0	265	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	Msfs	Msfs	\FileSystem\Msfs	-	-
0x17f0be508d0	264	4888	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS	MSDTC	Distributed Transaction Coordinator	C:\WINDOWS\System32\msdtc.exe	%SystemRoot%\System32\msdtc.exe	-
0x17f0be4bc50	263	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MsBridge	Microsoft MAC Bridge	N/A	System32\drivers\bridge.sys	-
0x17f0be516e0	262	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	mrxsmb20	SMB 2.0 MiniRedirector	\FileSystem\mrxsmb20	system32\DRIVERS\mrxsmb20.sys	-
0x17f0be4ae60	261	N/A	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	mrxsmb10	SMB 1.x MiniRedirector	\FileSystem\mrxsmb10	system32\DRIVERS\mrxsmb10.sys	-
0x17f0be4a140	260	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	mrxsmb	SMB MiniRedirector Wrapper and Engine	\FileSystem\mrxsmb	system32\DRIVERS\mrxsmb.sys	-
0x17f0be49e70	259	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_FILE_SYSTEM_DRIVER	MRxDAV	WebDav Client Redirector Driver	N/A	\SystemRoot\system32\drivers\mrxdav.sys	-
0x17f0be4a7d0	258	1124	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	MpsSvc	Windows Defender Firewall	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p	%SystemRoot%\system32\svchost.exe -k LocalServiceNoNetwork -p	%SystemRoot%\system32\mpssvc.dll
0x17f0be4b050	257	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mpsdrv	Windows Defender Firewall Authorization Driver	\Driver\mpsdrv	System32\drivers\mpsdrv.sys	-
0x17f0be4a050	256	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	MozillaMaintenance	Mozilla Maintenance Service	N/A	"C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe"	-
0x17f0be4b650	255	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mountmgr	Mount Point Manager	\Driver\mountmgr	System32\drivers\mountmgr.sys	-
0x17f0be49c90	254	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	mouhid	Mouse HID Driver	N/A	\SystemRoot\System32\drivers\mouhid.sys	-
0x17f0be49510	253	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mouclass	Mouse Class Driver	\Driver\mouclass	\SystemRoot\System32\drivers\mouclass.sys	-
0x17f0be49240	252	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	monitor	Microsoft Monitor Class Function Driver Service	\Driver\monitor	\SystemRoot\System32\drivers\monitor.sys	-
0x17f0be4ad70	251	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	Modem	Modem	N/A	system32\drivers\modem.sys	-
0x17f0be49ba0	250	N/A	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	MMCSS	Multimedia Class Scheduler	\Driver\MMCSS	\SystemRoot\system32\drivers\mmcss.sys	-
0x17f0be4a6e0	249	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	mlx4_bus	Mellanox ConnectX Bus Enumerator	N/A	\SystemRoot\System32\drivers\mlx4_bus.sys	-
0x17f0be49ab0	248	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	Microsoft Office Groove Audit Service	Microsoft Office Groove Audit Service	N/A	"C:\Program Files (x86)\Microsoft Office\Office12\GrooveAuditService.exe"	-
0x17f0be4c6d0	247	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfewfpk	McAfee Inc. mfewfpk	\Driver\mfewfpk	system32\drivers\mfewfpk.sys	-
0x17f0be497e0	246	2952	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS	mfevtp	McAfee Validation Trust Protection Service	"C:\WINDOWS\system32\mfevtps.exe"	"C:\WINDOWS\system32\mfevtps.exe"	-
0x17f0be4b4d0	245	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	mferkdet	McAfee Inc. mferkdet	N/A	system32\drivers\mferkdet.sys	-
0x17f0be496f0	244	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfeplk	McAfee Inc. mfeplk	\Driver\mfeplk	system32\drivers\mfeplk.sys	-
0x17f0be4a500	243	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfenlfk	McAfee NDIS Light Filter	\Driver\mfenlfk	\SystemRoot\system32\DRIVERS\mfenlfk.sys	-
0x17f0be49150	242	2436	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS	mfemms	McAfee Service Controller	"C:\Program Files\Common Files\McAfee\SystemCore\mfemms.exe"	"C:\Program Files\Common Files\McAfee\SystemCore\mfemms.exe"	-
0x17f0be4b950	241	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfehidk	McAfee Inc. mfehidk	\Driver\mfehidk	system32\drivers\mfehidk.sys	-
0x17f0be4ac80	240	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfehck	McAfee Inc. mfehck	\Driver\mfehck	system32\drivers\mfehck.sys	-
0x17f0be4a5f0	239	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfefirek	McAfee Inc. mfefirek	\Driver\mfefirek	system32\drivers\mfefirek.sys	-
0x17f0be499c0	238	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	mfefire	McAfee Firewall Core Service	N/A	"C:\Program Files\Common Files\McAfee\SystemCore\mfefire.exe"	-
0x17f0be4c250	237	N/A	SERVICE_BOOT_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	mfeelamk	McAfee Inc. mfeelamk	N/A	system32\drivers\mfeelamk.sys	-
0x17f0be4aaa0	236	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfedisk	McAfee AAC Disk Filter Driver	\Driver\mfedisk	system32\DRIVERS\mfedisk.sys	-
0x17f0be4a8c0	234	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfeavfk	McAfee Inc. mfeavfk	\Driver\mfeavfk	system32\drivers\mfeavfk.sys	-
0x17f0be49600	233	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfeaacsk	McAfee Inc. mfeaacsk	\Driver\mfeaacsk	system32\drivers\mfeaacsk.sys	-
0x17f0be49420	232	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mfeaack	McAfee Inc. mfeaack	\Driver\mfeaack	system32\drivers\mfeaack.sys	-
0x17f0be4a230	231	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	MessagingService	MessagingService	N/A	%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup	%SystemRoot%\System32\MessagingService.dll
0x17f0be4b7d0	230	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	megasr	megasr	N/A	System32\drivers\megasr.sys	-
